Abeillia abeillei_Smaragdkehlkolibri
Aegolius ridgwayi_Ridgwaykauz
Aegotheles crinifrons_Molukkenhöhlenschwalm
Aegotheles cristatus_Baumhöhlenschwalm
Aeronautes andecolus_Andensegler
Aeronautes montivagus_Bergsegler
Aeronautes saxatalis_Weißbrustsegler
Aethia pusilla_Zwergalk
Aethopyga christinae_Hainannektarvogel
Aethopyga gouldiae_Gouldnektarvogel
Aethopyga ignicauda_Feuerschwanz-Nektarvogel
Aethopyga nipalensis_Grünschwanz-Nektarvogel
Aethopyga saturata_Schwarzkehl-Nektarvogel
Aethopyga siparaja_Karmesinnektarvogel
Aethopyga temminckii_Temmincknektarvogel
Aethopyga vigorsii_Graubauch-Nektarvogel
Agapornis fischeri_Pfirsichköpfchen
Agapornis personatus_Schwarzköpfchen
Agapornis roseicollis_Rosenköpfchen
Agapornis taranta_Tarantapapagei
Agelaioides badius_Graustärling
Agelaius phoeniceus_Rotflügelstärling
Agelaius tricolor_Dreifarbenstärling
Agelasticus cyanopus_Einfarbstärling
Agelasticus thilius_Goldschulterstärling
Aglaiocercus coelestis_Langschwanzsylphe
Aglaiocercus kingii_Himmelssylphe
Agriornis montanus_Schwarzschnabel-Hakentyrann
Agropsar philippensis_Violettrückenstar
Ailuroedus crassirostris_Grünlaubenvogel
Ailuroedus maculosus_Tüpfellaubenvogel
Aimophila notosticta_Oaxacaammer
Aimophila rufescens_Rostrückenammer
Aimophila ruficeps_Rostscheitelammer
Aix galericulata_Mandarinente
Aix sponsa_Brautente
Akletos goeldii_Goeldiameisenvogel
Akletos melanoceps_Weißschulter-Ameisenvogel
Alaemon alaudipes_Wüstenläuferlerche
Alauda arvensis_Feldlerche
Alauda gulgula_Orientfeldlerche
Alauda leucoptera_Weißflügellerche
Alaudala cheleensis_Salzlerche
Alaudala raytal_Uferlerche
Alaudala rufescens_Stummellerche
Alca torda_Tordalk
Alcedo atthis_Eisvogel
Alcedo coerulescens_Türkiseisvogel
Alcedo meninting_Menintingeisvogel
Alcippe brunneicauda_Braunschwanz-Zweigdrossling
Alcippe fratercula_Yunnan-Zweigdrossling
Alcippe hueti_Huetzweigdrossling
Alcippe morrisonia_Grauwangen-Zweigdrossling
Alcippe nipalensis_Nepalzweigdrossling
Alcippe peracensis_Malaienzweigdrossling
Alcippe poioicephala_Graukopf-Zweigdrossling
Alcippe pyrrhoptera_Rotrücken-Zweigdrossling
Aleadryas rufinucha_Oliv-Haubendickkopf
Alectoris barbara_Felsenhuhn
Alectoris chukar_Chukarhuhn
Alectoris graeca_Steinhuhn
Alectoris rufa_Rothuhn
Alectura lathami_Australbuschhuhn
Alethe castanea_Kastanienbraunschwanz
Alethe diademata_Diadembraunschwanz
Alipiopsitta xanthops_Goldbauchamazone
Alisterus scapularis_Königssittich
Alophoixus flaveolus_Weißkehlbülbül
Alophoixus longirostris_Sula Golden-Bulbul
Alophoixus ochraceus_Ockerbauchbülbül
Alophoixus pallidus_Braunhaubenbülbül
Alophoixus phaeocephalus_Schwefelbülbül
Alopochelidon fucata_Fuchsschwalbe
Alopochen aegyptiaca_Nilgans
Amalocichla incerta_Zwergpittaschnäpper
Amandava amandava_Tüpfelastrild
Amaurolimnas concolor_Einfarbralle
Amaurornis cinerea_White-browed Crake
Amaurornis isabellina_Isabellkielralle
Amaurornis moluccana_Roststeiß-Kielralle
Amaurornis phoenicurus_Weißbrust-Kielralle
Amaurospiza aequatorialis_Andenkardinal
Amaurospiza concolor_Indigokardinal
Amaurospiza moesta_Dunkelkardinal
Amazilia amabilis_Blue-chested Hummingbird
Amazilia amazilia_Amazilia Hummingbird
Amazilia beryllina_Berylline Hummingbird
Amazilia brevirostris_White-chested Emerald
Amazilia candida_White-bellied Emerald
Amazilia castaneiventris_Chestnut-bellied Hummingbird
Amazilia chionogaster_White-bellied Hummingbird
Amazilia cyanifrons_Indigo-capped Hummingbird
Amazilia cyanocephala_Azure-crowned Hummingbird
Amazilia decora_Charming Hummingbird
Amazilia edward_Snowy-bellied Hummingbird
Amazilia fimbriata_Glittering-throated Emerald
Amazilia franciae_Andean Emerald
Amazilia lactea_Sapphire-spangled Emerald
Amazilia leucogaster_Plain-bellied Emerald
Amazilia luciae_Hondurasamazilie
Amazilia rosenbergi_Purple-chested Hummingbird
Amazilia rutila_Zimtbauchamazilie
Amazilia saucerottei_Steely-vented Hummingbird
Amazilia tobaci_Copper-rumped Hummingbird
Amazilia tzacatl_Braunschwanzamazilie
Amazilia versicolor_Versicolored Emerald
Amazilia violiceps_Violet-crowned Hummingbird
Amazilia viridicauda_Green-and-white Hummingbird
Amazilia yucatanensis_Fahlbauchamazilie
Amazona aestiva_Blaustirnamazone
Amazona agilis_Rotspiegelamazone
Amazona albifrons_Weißstirnamazone
Amazona amazonica_Venezuelaamazone
Amazona auropalliata_Gelbnackenamazone
Amazona autumnalis_Rotstirnamazone
Amazona brasiliensis_Rotschwanzamazone
Amazona dufresniana_Goldmaskenamazone
Amazona farinosa_Mülleramazone
Amazona festiva_Blaubrauenamazone
Amazona finschi_Blaukappenamazone
Amazona guatemalae_Guatemalaamazone
Amazona kawalli_Kawallamazone
Amazona leucocephala_Kubaamazone
Amazona mercenarius_Soldatenamazone
Amazona ochrocephala_Gelbscheitelamazone
Amazona oratrix_Gelbkopfamazone
Amazona rhodocorytha_Rotscheitelamazone
Amazona tucumana_Tucumanamazone
Amazona ventralis_Hispaniolaamazone
Amazona vinacea_Taubenhalsamazone
Amazona viridigenalis_Grünwangenamazone
Amazona xantholora_Goldzügelamazone
Amazonetta brasiliensis_Amazonasente
Amblycercus holosericeus_Gelbschnabelkassike
Amblyornis inornata_Hüttenlaubenvogel
Amblyornis newtoniana_Golden Bowerbird
Amblyospiza albifrons_Weißstirnweber
Amblyramphus holosericeus_Rotkopfstärling
Ammodramus aurifrons_Gelbwangenammer
Ammodramus humeralis_Wachtelammer
Ammodramus savannarum_Heuschreckenammer
Ammomanes cinctura_Sandlerche
Ammomanes deserti_Steinlerche
Ammomanes phoenicura_Rotschwanzlerche
Ammonastes pelzelni_Tüpfelwangen-Ameisenvogel
Ammoperdix heyi_Arabienwüstenhuhn
Ammospiza caudacuta_Spitzschwanzammer
Ammospiza leconteii_Leconteammer
Ammospiza maritima_Strandammer
Ammospiza nelsoni_Nelsonammer
Ampelioides tschudii_Schuppenkotinga
Ampelion rubrocristatus_Rotschopfkotinga
Ampelion rufaxilla_Braunohrkotinga
Ampelornis griseiceps_Graukopf-Ameisenvogel
Amphilais seebohmi_Gray Emutail
Amphispiza bilineata_Schwarzkehlammer
Amphispiza quinquestriata_Fünfstreifenammer
Anabacerthia amaurotis_Rahmbrauen-Blattspäher
Anabacerthia lichtensteini_Schuppenscheitel-Blattspäher
Anabacerthia ruficaudata_Olivrücken-Blattspäher
Anabacerthia striaticollis_Weißbrillen-Blattspäher
Anabacerthia variegaticeps_Ockerbrillen-Blattspäher
Anabathmis newtonii_Gelbbrust-Nektarvogel
Anabathmis reichenbachii_Reichenbach-Nektarvogel
Anabazenops dorsalis_Graubauch-Baumspäher
Anabazenops fuscus_Halsband-Baumspäher
Anairetes alpinus_Graubrust-Tachurityrann
Anairetes fernandezianus_Juan-Fernández-Tachurityrann
Anairetes flavirostris_Gelbschnabel-Tachurityrann
Anairetes nigrocristatus_Schwarzhauben-Tachurityrann
Anairetes parulus_Meisentachurityrann
Anairetes reguloides_Streifenbauch-Tachurityrann
Anas acuta_Spießente
Anas andium_Andenente
Anas carolinensis_Carolinakrickente
Anas castanea_Kastanienente
Anas crecca_Krickente
Anas diazi_Mexikoente
Anas flavirostris_Braunkopfente
Anas fulvigula_Floridaente
Anas georgica_Spitzschwanzente
Anas gracilis_Australente
Anas platyrhynchos_Stockente
Anas poecilorhyncha_Indien-Fleckschnabelente
Anas rubripes_Dunkelente
Anas superciliosa_Augenbrauenente
Anas undulata_Gelbschnabelente
Anas zonorhyncha_China-Fleckschnabelente
Ancistrops strigilatus_Hakenschnabel-Blattspäher
Andigena hypoglauca_Blautukan
Andigena laminirostris_Leistenschnabeltukan
Andigena nigrirostris_Schwarzschnabeltukan
Androdon aequatorialis_Zahnschnabelkolibri
Andropadus importunus_Dunkelbülbül
Anhima cornuta_Hornwehrvogel
Anhinga anhinga_Amerika-Schlangenhalsvogel
Anhinga melanogaster_Orient-Schlangenhalsvogel
Anhinga novaehollandiae_Austral-Schlangenhalsvogel
Anisognathus igniventris_Mennigohr-Bergtangare
Anisognathus lacrymosus_Tränenbergtangare
Anisognathus notabilis_Schwarzkinn-Bergtangare
Anisognathus somptuosus_Blauflügel-Bergtangare
Anodorhynchus hyacinthinus_Hyazinthara
Anodorhynchus leari_Learara
Anorrhinus galeritus_Kurzschopf-Hornvogel
Anorrhinus tickelli_Rostbauch-Hornvogel
Anous minutus_Weißkopfnoddi
Anous stolidus_Braunnoddi
Anser albifrons_Blässgans
Anser anser_Graugans
Anser brachyrhynchus_Kurzschnabelgans
Anser caerulescens_Schneegans
Anser canagicus_Kaisergans
Anser cygnoides_Schwanengans
Anser erythropus_Zwerggans
Anser fabalis_Waldsaatgans
Anser indicus_Streifengans
Anser rossii_Zwergschneegans
Anser serrirostris_Tundrasaatgans
Anseranas semipalmata_Spaltfußgans
Anthipes monileger_Diamantschnäpper
Anthipes solitaris_Roststirnschnäpper
Anthochaera carunculata_Rotlappen-Honigfresser
Anthochaera chrysoptera_Zimtflügel-Honigfresser
Anthochaera lunulata_Zwerghonigfresser
Anthochaera paradoxa_Gelblappen-Honigfresser
Anthornis melanura_Maorihonigfresser
Anthoscopus minutus_Kapbeutelmeise
Anthoscopus musculus_Graubeutelmeise
Anthracoceros albirostris_Orienthornvogel
Anthracoceros coronatus_Malabarhornvogel
Anthracoceros malayanus_Malaienhornvogel
Anthracothorax dominicus_Dominikanermangokolibri
Anthracothorax nigricollis_Schwarzbrust-Mangokolibri
Anthracothorax prevostii_Grünbrust-Mangokolibri
Anthreptes malacensis_Braunkehl-Nektarvogel
Anthreptes orientalis_Schwalbennektarvogel
Anthreptes simplex_Schlichtnektarvogel
Anthropoides paradiseus_Blue Crane
Anthropoides virgo_Demoiselle Crane
Anthus antarcticus_Riesenpieper
Anthus berthelotii_Kanarenpieper
Anthus bogotensis_Paramopieper
Anthus brevirostris_Punapieper
Anthus campestris_Brachpieper
Anthus cervinus_Rotkehlpieper
Anthus chacoensis_Chacopieper
Anthus cinnamomeus_Zimtspornpieper
Anthus correndera_Correnderapieper
Anthus crenatus_Klippenpieper
Anthus furcatus_Weißbauchpieper
Anthus godlewskii_Steppenpieper
Anthus gustavi_Petschorapieper
Anthus hellmayri_Hellmayrpieper
Anthus hodgsoni_Waldpieper
Anthus leucophrys_Braunrückenpieper
Anthus lineiventris_Streifenpieper
Anthus lutescens_Savannenpieper
Anthus nattereri_Ockerbrustpieper
Anthus novaeseelandiae_Neuseeland-Spornpieper
Anthus peruvianus_Perupieper
Anthus petrosus_Strandpieper
Anthus pratensis_Wiesenpieper
Anthus richardi_Spornpieper
Anthus roseatus_Rosenpieper
Anthus rubescens_Pazifikpieper
Anthus rufulus_Orientspornpieper
Anthus similis_Langschnabelpieper
Anthus spinoletta_Bergpieper
Anthus spragueii_Präriepieper
Anthus sylvanus_Mattenpieper
Anthus trivialis_Baumpieper
Antigone antigone_Saruskranich
Antigone canadensis_Kanadakranich
Antigone rubicunda_Brolgakranich
Antigone vipio_Weißnackenkranich
Antilophia bokermanni_Weißbauchpipra
Antilophia galeata_Schwarzbauchpipra
Antrostomus arizonae_Mexikonachtschwalbe
Antrostomus badius_Belizenachtschwalbe
Antrostomus carolinensis_Carolinanachtschwalbe
Antrostomus noctitherus_Puerto-Rico-Nachtschwalbe
Antrostomus ridgwayi_Braunhals-Nachtschwalbe
Antrostomus rufus_Rostnachtschwalbe
Antrostomus saturatus_Bergnachtschwalbe
Antrostomus sericocaudatus_Seidennachtschwalbe
Antrostomus vociferus_Schwarzkehl-Nachtschwalbe
Anumara forbesi_Forbesstärling
Anumbius annumbi_Weißkehl-Bündelnister
Anurolimnas castaneiceps_Chestnut-headed Crake
Anurolimnas fasciatus_Black-banded Crake
Anurolimnas viridis_Russet-crowned Crake
Apalis chapini_Chapinfeinsänger
Apalis cinerea_Graurücken-Feinsänger
Apalis flavida_Gelbbrust-Feinsänger
Apalis melanocephala_Schwarzkopf-Feinsänger
Apalis personata_Kivufeinsänger
Apalis porphyrolaema_Bergfeinsänger
Apalis ruddi_Flechtenfeinsänger
Apalis rufogularis_Weißbauch-Feinsänger
Apalis sharpii_Kurzschwanz-Feinsänger
Apalis thoracica_Halsband-Feinsänger
Apaloderma narina_Narinatrogon
Apaloderma vittatum_Bergtrogon
Aphanotriccus audax_Schwarzschnabel-Schnäppertyrann
Aphanotriccus capitalis_Ockerbrust-Schnäppertyrann
Aphantochroa cirrochloris_Sombre Hummingbird
Aphelocephala leucopsis_Fahlrücken-Weißstirnchen
Aphelocoma californica_Kalifornienhäher
Aphelocoma coerulescens_Floridahäher
Aphelocoma insularis_Inselhäher
Aphelocoma ultramarina_Ultramarinhäher
Aphelocoma unicolor_Einfarbhäher
Aphelocoma wollweberi_Mexikohäher
Aphelocoma woodhouseii_Woodhousehäher
Aphrastura spinicauda_Stachelschwanzschlüpfer
Aplonis atrifusca_Samoastar
Aplonis cantoroides_Singstar
Aplonis grandis_Kragenstar
Aplonis metallica_Weberstar
Aplonis mysolensis_Molukkenstar
Aplonis opaca_Karolinenstar
Aplonis panayensis_Malaienstar
Aplonis tabuensis_Südseestar
Aprositornis disjuncta_Zweifarb-Ameisenvogel
Aprosmictus erythropterus_Rotflügelsittich
Aptenodytes patagonicus_Königspinguin
Apteryx mantelli_Nordstreifenkiwi
Apus affinis_Haussegler
Apus apus_Mauersegler
Apus caffer_Weißbürzelsegler
Apus melba_Alpensegler
Apus nipalensis_Malaiensegler
Apus pacificus_Pazifiksegler
Apus pallidus_Fahlsegler
Apus unicolor_Einfarbsegler
Aquila adalberti_Iberienadler
Aquila chrysaetos_Steinadler
Ara ararauna_Gelbbrustara
Ara chloropterus_Grünflügelara
Ara macao_Scharlachara
Ara militaris_Soldatenara
Ara severus_Rotbugara
Arachnothera everetti_Borneospinnenjäger
Arachnothera flavigaster_Brillenspinnenjäger
Arachnothera longirostra_Weißkehl-Spinnenjäger
Arachnothera magna_Strichelspinnenjäger
Aramides albiventris_Rotnackenralle
Aramides axillaris_Braunkappenralle
Aramides cajaneus_Cayenneralle
Aramides saracura_Schieferbrustralle
Aramides wolfi_Esmeraldasralle
Aramides ypecaha_Galeriewaldralle
Aramus guarauna_Rallenkranich
Aratinga auricapillus_Goldscheitelsittich
Aratinga jandaya_Jandayasittich
Aratinga nenday_Nandaysittich
Aratinga weddellii_Weddellsittich
Arborophila ardens_Hainanbuschwachtel
Arborophila atrogularis_Weißwangen-Buschwachtel
Arborophila campbelli_Malaienbuschwachtel
Arborophila chloropus_Scaly-breasted Partridge
Arborophila crudigularis_Taiwanbuschwachtel
Arborophila hyperythra_Borneobuschwachtel
Arborophila javanica_Javabuschwachtel
Arborophila orientalis_Weißgesicht-Buschwachtel
Arborophila rufogularis_Rotkehl-Buschwachtel
Arborophila torqueola_Hügelbuschwachtel
Arcanator orostruthus_Strichelkehlsopranist
Archilochus alexandri_Schwarzkinnkolibri
Archilochus colubris_Rubinkehlkolibri
Ardea alba_Silberreiher
Ardea cinerea_Graureiher
Ardea cocoi_Cocoireiher
Ardea herodias_Kanadareiher
Ardea intermedia_Mittelreiher
Ardea purpurea_Purpurreiher
Ardenna creatopus_Rosafuß-Sturmtaucher
Ardenna grisea_Dunkelsturmtaucher
Ardenna pacifica_Keilschwanz-Sturmtaucher
Ardeola bacchus_Bacchusreiher
Ardeola grayii_Paddyreiher
Ardeola ralloides_Rallenreiher
Arenaria interpres_Steinwälzer
Arenaria melanocephala_Schwarzkopf-Steinwälzer
Argusianus argus_Argusfasan
Arizelocichla chlorigula_Gelbfleckbülbül
Arremon abeillei_Kapuzenbuschammer
Arremon assimilis_Schmalschnabel-Buschammer
Arremon atricapillus_Schwarzkopf-Buschammer
Arremon aurantiirostris_Goldschnabel-Buschammer
Arremon basilicus_Brustfleck-Buschammer
Arremon brunneinucha_Braunkopf-Buschammer
Arremon castaneiceps_Olivbuschammer
Arremon costaricensis_Grauband-Buschammer
Arremon crassirostris_Dickschnabel-Buschammer
Arremon flavirostris_Gelbschnabel-Buschammer
Arremon franciscanus_Franziskusbuschammer
Arremon schlegeli_Goldflügel-Buschammer
Arremon semitorquatus_Halsband-Buschammer
Arremon taciturnus_Schwarzring-Buschammer
Arremon torquatus_Streifenkopf-Buschammer
Arremon virenticeps_Grünscheitel-Buschammer
Arremonops chloronotus_Grünrückenammer
Arremonops conirostris_Dickichtammer
Arremonops rufivirgatus_Olivrückenammer
Arremonops tocuyensis_Tocuyoammer
Arses telescopthalmus_Krausenmonarch
Artamus cinereus_Schwarzgesicht-Schwalbenstar
Artamus cyanopterus_Rußschwalbenstar
Artamus fuscus_Grauschwalbenstar
Artamus leucorynchus_Weißbauch-Schwalbenstar
Artamus maximus_Riesenschwalbenstar
Artamus personatus_Maskenschwalbenstar
Artamus superciliosus_Weißbrauen-Schwalbenstar
Artemisiospiza belli_Salbeiammer
Artemisiospiza nevadensis_Beifußammer
Artisornis metopias_Rotkappensänger
Artisornis moreaui_Usambarafeinsänger
Arundinax aedon_Dickschnabelspötter
Arundinicola leucocephala_Weißkopf-Wassertyrann
Asemospiza fuliginosa_Schwarzbrust-Gimpeltangare
Asemospiza obscura_Braungimpeltangare
Asio clamator_Striped Owl
Asio flammeus_Sumpfohreule
Asio otus_Waldohreule
Asio stygius_Styxeule
Aspatha gularis_Blaukehlmotmot
Asthenes anthoides_Graubrustcanastero
Asthenes arequipae_Dunkelflügelcanastero
Asthenes baeri_Kurzschnabelcanastero
Asthenes coryi_Ockerbrauencanastero
Asthenes dorbignyi_Rostbürzelcanastero
Asthenes flammulata_Weißstrichelcanastero
Asthenes fuliginosa_Graubauchcanastero
Asthenes griseomurina_Olivrückencanastero
Asthenes harterti_Schwarzkehlcanastero
Asthenes helleri_Punacanastero
Asthenes heterura_Dornbuschcanastero
Asthenes huancavelicae_Grauwangencanastero
Asthenes hudsoni_Ockerbrustcanastero
Asthenes maculicauda_Roststirncanastero
Asthenes modesta_Graslandcanastero
Asthenes moreirae_Blasscanastero
Asthenes ottonis_Rostgesichtcanastero
Asthenes palpebralis_Brillencanastero
Asthenes perijana_Perijacanastero
Asthenes pudibunda_Rostschwanzcanastero
Asthenes pyrrholeuca_Dünnschnabelcanastero
Asthenes sclateri_Rötelflügelcanastero
Asthenes urubambensis_Dunkelrückencanastero
Asthenes virgata_Braunschwanzcanastero
Asthenes wyatti_Strichelrückencanastero
Atalotriccus pilaris_Blassaugen-Zwergtyrann
Atelornis crossleyi_Lätzchenerdracke
Atelornis pittoides_Blaukopf-Erdracke
Athene blewitti_Blewittkauz
Athene brama_Brahmakauz
Athene cunicularia_Kaninchenkauz
Athene noctua_Steinkauz
Athene superciliaris_Madagaskarkauz
Atimastillas flavicollis_Gelbkehlbülbül
Atlapetes albinucha_Weißnacken-Buschammer
Atlapetes albofrenatus_Weißbart-Buschammer
Atlapetes crassus_Goldscheitel-Buschammer
Atlapetes flaviceps_Goldkopf-Buschammer
Atlapetes fulviceps_Braunbart-Buschammer
Atlapetes fuscoolivaceus_Rußkopf-Buschammer
Atlapetes latinuchus_Gelbbrust-Buschammer
Atlapetes leucopis_Brillenbuschammer
Atlapetes leucopterus_Spiegelbuschammer
Atlapetes melanocephalus_Grauohr-Buschammer
Atlapetes melanolaemus_Schwarzgesicht-Buschammer
Atlapetes pallidiceps_Blasskopf-Buschammer
Atlapetes pallidinucha_Zimtstirn-Buschammer
Atlapetes personatus_Tepuibuschammer
Atlapetes pileatus_Rotkappen-Buschammer
Atlapetes rufigenis_Rotohr-Buschammer
Atlapetes rufinucha_Rotnacken-Buschammer
Atlapetes schistaceus_Graubrust-Buschammer
Atlapetes seebohmi_Rotscheitel-Buschammer
Atlapetes semirufus_Ockerbrust-Buschammer
Atlapetes tibialis_Gelbschenkel-Buschammer
Atlapetes tricolor_Dreifarben-Buschammer
Atrichornis clamosus_Lärmdickichtvogel
Atrichornis rufescens_Rostdickichtvogel
Attagis gayi_Rotbauch-Höhenläufer
Atthis ellioti_Wine-throated Hummingbird
Atthis heloisa_Bumblebee Hummingbird
Atticora fasciata_Weißbandschwalbe
Atticora pileata_Black-capped Swallow
Atticora tibialis_White-thighed Swallow
Attila bolivianus_Weißaugen-Attilatyrann
Attila cinnamomeus_Zimtattilatyrann
Attila citriniventris_Gelbbauch-Attilatyrann
Attila phoenicurus_Graukopf-Attilatyrann
Attila rufus_Streifenkehl-Attilatyrann
Attila spadiceus_Gelbbürzel-Attilatyrann
Attila torridus_Ockerattilatyrann
Augastes lumachella_Goldmaskenkolibri
Augastes scutatus_Grünmaskenkolibri
Aulacorhynchus albivitta_Weißkehlarassari
Aulacorhynchus atrogularis_Schwarzkinnarassari
Aulacorhynchus caeruleogularis_Blaukehlarassari
Aulacorhynchus coeruleicinctis_Grauschnabelarassari
Aulacorhynchus derbianus_Blaunackenarassari
Aulacorhynchus haematopygus_Blutbürzelarassari
Aulacorhynchus prasinus_Laucharassari
Aulacorhynchus sulcatus_Blauzügelarassari
Auriparus flaviceps_Goldkopf-Beutelmeise
Automolus exsertus_Chiriquíbaumspäher
Automolus infuscatus_Olivrücken-Baumspäher
Automolus lammi_Weißkehl-Baumspäher
Automolus leucophthalmus_Weißaugen-Baumspäher
Automolus melanopezus_Orangekehl-Baumspäher
Automolus ochrolaemus_Fahlkehl-Baumspäher
Automolus paraensis_Dunkelbaumspäher
Automolus rufipileatus_Rostkappen-Baumspäher
Automolus subulatus_Strichelrücken-Baumspäher
Automolus virgatus_Olivbauch-Baumspäher
Aviceda subcristata_Papuaweih
Aythya americana_Rotkopfente
Aythya collaris_Ringschnabelente
Aythya ferina_Tafelente
Aythya fuligula_Reiherente
Aythya marila_Bergente
Aythya nyroca_Moorente
Aythya valisineria_Riesentafelente
Baeolophus atricristatus_Schwarzhäubchenmeise
Baeolophus bicolor_Grauhäubchenmeise
Baeolophus inornatus_Eichenmeise
Baeolophus ridgwayi_Wacholdermeise
Baeolophus wollweberi_Brillenmeise
Baeopogon indicator_Indikatorbülbül
Balearica regulorum_Grauhals-Kronenkranich
Bambusicola fytchii_Gelbbrauen-Bambushuhn
Bambusicola sonorivox_Taiwanbambushuhn
Bambusicola thoracicus_Graubrauen-Bambushuhn
Bangsia aureocincta_Goldring-Bergtangare
Bangsia edwardsi_Moosmantel-Bergtangare
Bangsia melanochlamys_Blauschulter-Bergtangare
Bangsia rothschildi_Gelbbrust-Bergtangare
Barnardius zonarius_Ringsittich
Bartramia longicauda_Prärieläufer
Baryphthengus martii_Zimtbrustmotmot
Baryphthengus ruficapillus_Rotkopfmotmot
Basileuterus belli_Goldstreif-Waldsänger
Basileuterus culicivorus_Goldhähnchen-Waldsänger
Basileuterus lachrymosus_Fächerwaldsänger
Basileuterus melanogenys_Schwarzwangen-Waldsänger
Basileuterus melanotis_Fahlscheitel-Waldsänger
Basileuterus rufifrons_Rotkappen-Waldsänger
Basileuterus trifasciatus_Cayamarcawaldsänger
Basileuterus tristriatus_Dreistreifen-Waldsänger
Batara cinerea_Riesenameisenwürger
Bathmocercus rufus_Graubauch-Fuchssänger
Batis capensis_Kapschnäpper
Batis crypta_Iringaschnäpper
Batis erlangeri_Kongoschnäpper
Batis molitor_Weißflankenschnäpper
Batis orientalis_Heuglinschnäpper
